,Comment,Sentiment,Negative (%),Neutral (%),Positive (%),Scaler_value,weighted_SV,weight,video_id
70,It's subscribe now 😂,Neutral,3.18,59.46,37.36,0.34,1.7000000000000002,5,Y0cBiGUuB1Y
71,No way the tiger just missed a high-five….,Negative,53.99,43.13,2.88,-0.51,-2.55,5,Y0cBiGUuB1Y
72,Take me to Disneyland🎉,Positive,0.11,3.83,96.06,0.96,0.96,1,Y0cBiGUuB1Y
73,"Cleaning the ocean.
Caring deaf people.
Planting 20 million trees.
Caring blind people.
You are such a good person!",Positive,2.48,10.05,87.47,0.85,4.25,5,Y0cBiGUuB1Y
74,Those sound effects and Disney world tho,Positive,2.32,40.99,56.7,0.54,0.54,1,Y0cBiGUuB1Y
75,The best way to tell people subscribe Mr beast 😂😂😂,Positive,4.57,38.14,57.29,0.53,0.53,1,Y0cBiGUuB1Y
76,bro cancelled class and his mom 💀,Negative,77.17,19.73,3.1,-0.74,-3.7,5,Y0cBiGUuB1Y
77,The fact he isnt excited that mr beast is interviewing him,Negative,66.51,31.56,1.93,-0.65,-0.65,1,Y0cBiGUuB1Y
78,"tiger:*ignores him*
his mind: EMOTIONAL DAMAGE",Negative,77.46,20.94,1.6,-0.76,-3.8,5,Y0cBiGUuB1Y
79,Me inscrevi pq vai q ele vem pro Brasil,Neutral,8.03,86.12,5.86,-0.02,-0.02,1,Y0cBiGUuB1Y
80,That dude litterally had the best day of his life,Positive,0.33,1.94,97.74,0.97,4.85,5,Y0cBiGUuB1Y
81,Yo si estoy suscrita ❤,Positive,0.56,31.31,68.13,0.68,3.4000000000000004,5,Y0cBiGUuB1Y
82,Wow that tiger is rude....😂😂😂😂,Negative,91.67,7.04,1.28,-0.9,-0.9,1,Y0cBiGUuB1Y
83,Thats a kind man!,Positive,0.39,7.33,92.28,0.92,4.6000000000000005,5,Y0cBiGUuB1Y
84,Awesome!,Positive,0.42,3.75,95.82,0.95,0.95,1,Y0cBiGUuB1Y
85,Jit is about to get whooped when he get home,Neutral,41.51,54.53,3.95,-0.38,-1.9,5,Y0cBiGUuB1Y
86,Double it and give it to the next person,Neutral,4.14,70.38,25.48,0.21,0.21,1,Y0cBiGUuB1Y
0,Subscribe and you could be in a future video!,Positive,0.34,28.51,71.15,0.71,3.55,5,48h57PspBec
1,Jimmy is always LEVELING UP! This is insane.,Negative,52.18,24.57,23.25,-0.29,-1.45,5,48h57PspBec
2,"It’s insane how Jimmy has the craziest videos, but still keeps a better upload schedule than most youtubers.",Positive,2.66,17.89,79.45,0.77,3.85,5,48h57PspBec
3,I'm perpetually amazed by how well edited and entertaining these are,Positive,0.49,3.19,96.31,0.96,4.8,5,48h57PspBec
4,"Jimmy always staying humble and selfless, letting a homeless man on the 50 million dollar boat to give him food and shelter, what a man🙏🙏🙏",Positive,0.48,4.92,94.6,0.94,4.699999999999999,5,48h57PspBec
5,"The content is so extraordinary, always waiting for continuous updates from Mr beast❤️",Positive,0.15,1.17,98.68,0.99,4.95,5,48h57PspBec
6,Wow! $1 yacht!  the entertainment level is crazy high! thanks Mr. beast!,Positive,0.17,1.05,98.77,0.99,4.95,5,48h57PspBec
7,Props to the chopper pilot who landed his jet ranger on a tiny pad on a moving yacht. Freakin skills.,Positive,3.12,34.57,62.31,0.59,2.9499999999999997,5,48h57PspBec
8,Congratulations to the crew members on being the 69th largest yacht in the world!,Positive,0.08,1.36,98.55,0.98,4.9,5,48h57PspBec
9,Jimmy is always LEVELING UP ! This is insane,Negative,44.42,27.12,28.46,-0.16,-0.8,5,48h57PspBec
10,"$1 Jar Vs. $1,000,000,000 Jar",Neutral,12.24,81.97,5.79,-0.06,-0.3,5,48h57PspBec
11,This man is literally born to make History. Hats off to Jimmy and the crew!!,Positive,0.22,2.35,97.44,0.97,4.85,5,48h57PspBec
12,"This is content at its peak !!
Nothing better than this right now",Positive,0.36,1.46,98.18,0.98,4.9,5,48h57PspBec
13,"Impresionante las maravillas de botes, un fin de semana sería fantastico",Positive,0.82,23.41,75.76,0.75,3.75,5,48h57PspBec
14,Jimmy is LEVELLING UP from CHALLENGES to SAVING PEOPLE’S LIVES.,Neutral,5.19,49.39,45.42,0.4,2.0,5,48h57PspBec
15,Tom Brady + Pete Davidson? This is another level!,Positive,1.01,17.6,81.38,0.8,4.0,5,48h57PspBec
16,Hope your videos will still be as quality as this in the future 😊,Positive,0.2,5.43,94.36,0.94,4.699999999999999,5,48h57PspBec
17,"this is amazing to see, my sister works on one of the shows and told me that you guys rented it out for a couple hours and put a bunch of random people on it.",Positive,0.22,2.21,97.57,0.97,4.85,5,48h57PspBec
18,3:13 Thank you Nolan for saving Chandler’s life a salute to you 😂🫡,Positive,0.14,3.03,96.82,0.97,4.85,5,48h57PspBec
19,"Even at almost 46 years of age, Brady’s spirals, form, accuracy are still 💯",Positive,0.57,28.12,71.31,0.71,3.55,5,48h57PspBec
20,Your content is insane! love it,Positive,0.41,0.86,98.73,0.98,4.9,5,48h57PspBec
21,Never fails to entertain! 😊,Positive,0.22,2.65,97.13,0.97,4.85,5,48h57PspBec
22,Meu sonho participar de um desafio dele ❤,Positive,0.39,29.72,69.9,0.7,3.5,5,48h57PspBec
23,oasis is such a fun ship but its always so busy. weird to see it with no ppl on it,Neutral,33.59,39.72,26.69,-0.07,-0.35000000000000003,5,48h57PspBec
24,✨THIS MAN IS LITERALLY BORN TO MAKE HISTORY❤❤,Positive,0.29,5.58,94.13,0.94,4.699999999999999,5,48h57PspBec
25,keep on uploading this kind of stuff jimmy. <3 we luv ya,Positive,0.35,5.39,94.26,0.94,4.699999999999999,5,48h57PspBec
26,You're killing it jimmy!,Positive,1.47,10.23,88.3,0.87,4.35,5,48h57PspBec
27,Pete just chillin' high as hell walkin around a yacht,Neutral,19.22,67.07,13.71,-0.06,-0.3,5,48h57PspBec
28,Jimmy is always LEVELING UP! This is insane. indeed!,Negative,38.41,24.62,36.97,-0.01,-0.05,5,48h57PspBec
29,"Imagine calling a billion dollars  "" CRUISE SHIP "" as a "" YACHT ""
😂😂",Neutral,42.87,46.28,10.84,-0.32,-1.6,5,48h57PspBec
30,The fact that Jimmy has gone from challenges to saving people's lives is just fantastic.,Positive,0.48,3.49,96.03,0.96,4.8,5,48h57PspBec
31,"Imagine the gas and helicopter expense, all for a $50 dollar pizza.",Negative,51.5,43.39,5.11,-0.46,-2.3000000000000003,5,48h57PspBec
32,*This $1 Yacht is insane* 😁😂,Positive,2.97,18.66,78.38,0.75,3.75,5,48h57PspBec
33,Cada dia que passa eu me surpreendo mais com o Mr Beast,Neutral,3.56,89.65,6.79,0.03,0.15,5,48h57PspBec
34,"You should become a waiter and then tip the customers $10,000 😂",Neutral,13.43,68.29,18.28,0.05,0.25,5,48h57PspBec
35,"You are coolest people in the world, you can make anyone happy in an instant! Thanks for all what you do !",Positive,0.12,0.68,99.2,0.99,4.95,5,48h57PspBec
36,wow!!! un crucero!!! increíble!!! nunca lo había visto en mi vida!!! buenisimo!!!!!,Positive,10.04,34.85,55.11,0.45,2.25,5,48h57PspBec
37,Jimmy went from filming in his room to filming with Pete Davidson and Tom Brady. What an inspiration.,Positive,0.61,15.89,83.49,0.83,4.1499999999999995,5,48h57PspBec
38,Jimmy is always LEVELING UP! This is insane,Positive,37.11,25.59,37.3,0.0,0.0,5,48h57PspBec
39,"We laughed, we cried... The production value here, the story telling... just wow. Bravo Mr. Beast!",Positive,0.24,1.91,97.85,0.98,4.9,5,48h57PspBec
40,Any plans to bring Feastables to Europe?,Neutral,2.21,92.91,4.88,0.03,0.15,5,48h57PspBec
41,Ficaria feliz se um de seus videos fosse aqui no Brasil 😊,Positive,0.45,33.99,65.56,0.65,3.25,5,48h57PspBec
42,Tom Brady AND Pete Davidson?! What could be better,Positive,0.52,4.8,94.68,0.94,4.699999999999999,5,48h57PspBec
43,"Mr beast literally escaped the matrix! Damn, his mind really changed from a slave-minded individual to an open-minded hustler/business man",Neutral,30.14,50.89,18.98,-0.11,-0.55,5,48h57PspBec
44,Eu realmente queria poder encontrar esse chocolate aqui no Brasil,Neutral,6.47,86.6,6.93,0.0,0.0,5,48h57PspBec
45,I'm in between overwhelmed and disgusted by what money can buy,Negative,91.22,8.03,0.75,-0.9,-4.5,5,48h57PspBec
46,"Jimmy is Leveling up! He bought a yacht for $1,000,000,000!!!! This is insane.",Negative,55.94,28.07,15.99,-0.4,-2.0,5,48h57PspBec
47,Jimmy is always Leveling up!! This is INSANE,Positive,2.81,13.36,83.82,0.81,4.050000000000001,5,48h57PspBec
48,Jimmy you are a legend 😁,Positive,0.47,6.98,92.55,0.92,4.6000000000000005,5,48h57PspBec
49,gotta love how they paid so much for the helicpter and still got little ceaser's,Positive,4.13,19.61,76.26,0.72,3.5999999999999996,5,48h57PspBec
50,"12:06 ""have fun boys"" Mr Beast spitting nothing but facts.",Neutral,18.33,53.01,28.66,0.1,0.5,5,48h57PspBec
51,The fact that this man rented the worlds biggest cruise ship is insane. Props from the ship enthusiasts,Neutral,34.57,42.15,23.28,-0.11,-0.55,5,48h57PspBec
52,Love the marketing for Feastables! Genius! 🎉,Positive,0.14,0.79,99.06,0.99,4.95,5,48h57PspBec
53,Who else just loves Jimmy,Positive,13.66,42.76,43.58,0.3,1.5,5,48h57PspBec
54,Jimmy can legit change the world,Positive,1.17,20.53,78.3,0.77,3.85,5,48h57PspBec
55,Never disappoints,Positive,7.48,24.97,67.55,0.6,3.0,5,48h57PspBec
56,The fact that this man rented the world's biggest cruise ship is insane! Huge respect from ship enthusiasts!,Positive,1.06,7.04,91.89,0.91,4.55,5,48h57PspBec
57,"That ain't no $1B yacht, that is a FREAKING $4B CRUISE SHIP! 😂😂",Negative,66.95,26.64,6.41,-0.61,-3.05,5,48h57PspBec
58,Shoutout to the architects of these yachts🔥,Positive,0.4,18.15,81.44,0.81,4.050000000000001,5,48h57PspBec
59,Man it is insane how much one guy can do for so many people. Tom Brady may be the GOAT of football but Jimmy you are the GOAT of the world,Positive,8.09,39.99,51.92,0.44,2.2,5,48h57PspBec
60,So close to 200m!!! Keep it up!,Positive,0.16,4.28,95.56,0.95,4.75,5,48h57PspBec
61,"Jimmy we love you so much,me and my family
 subscribed your all channels You're the best person I've ever seen in my life",Positive,0.2,0.68,99.11,0.99,4.95,5,48h57PspBec
62,The fact that Jimmy has gone from challenges to saving people's lives is fantastic.,Positive,0.42,3.54,96.04,0.96,4.8,5,48h57PspBec
63,they just somehow managed to get the 69th biggest yacht in the world that’s pretty wild,Positive,0.57,8.41,91.02,0.9,4.5,5,48h57PspBec
64,The Facts This Guy Afford To Rent These Things Is Insane,Negative,78.75,19.35,1.91,-0.77,-3.85,5,48h57PspBec
65,Congrats on 160m!,Positive,0.1,2.36,97.54,0.97,4.85,5,48h57PspBec
66,Jimmy is always leveling up ! This is insane,Negative,51.33,31.95,16.72,-0.35,-1.75,5,48h57PspBec
67,Bro that editor has to get promoted. He is doing some insane stuff on the computer.,Neutral,39.75,41.81,18.44,-0.21,-1.05,5,48h57PspBec
68,We all need a Jimmy as a friend.,Neutral,1.59,52.76,45.65,0.44,2.2,5,48h57PspBec
69,Pete Davidson just doing side quests now,Neutral,7.36,88.34,4.31,-0.03,-0.15,5,48h57PspBec
70,Mr beast you are a good guy keep it up,Positive,0.47,4.61,94.92,0.94,4.699999999999999,5,48h57PspBec
71,The fastest growing channel ever.. proud of you Mr beast😊,Positive,0.11,1.27,98.62,0.99,4.95,5,48h57PspBec
72,"Hold up

If he makes 50 mil a year, how can he afford a 1 billion dollar yacht",Neutral,40.85,55.5,3.65,-0.37,-1.85,5,48h57PspBec
73,getting tom brady in this vid is wild,Neutral,4.02,54.44,41.55,0.38,1.9,5,48h57PspBec
74,Maintaining and storing a yacht is more expensive than the yachts themselves,Negative,64.75,31.54,3.7,-0.61,-3.05,5,48h57PspBec
75,The fact that he got Little Caesars makes me respect Jimmy more.,Positive,0.34,7.03,92.64,0.92,4.6000000000000005,5,48h57PspBec
76,you are so insane with your teametes,Negative,92.68,6.29,1.02,-0.92,-4.6000000000000005,5,48h57PspBec
77,Came in here to see how you find a $1 yacht😮😅,Neutral,18.71,66.72,14.57,-0.04,-0.2,5,48h57PspBec
78,"Mr beast is unstoppable, keep doing what you do. Greeting from Trinidad 🇹🇹",Positive,0.28,7.6,92.13,0.92,0.92,1,48h57PspBec
79,"The enthusiasm for creating content, Mr. beast 🎉🎉🎉",Positive,0.1,2.83,97.07,0.97,4.85,5,48h57PspBec
80,Probaría tu chocolate pero a qui en mexico no es muy común que digamos,Neutral,15.76,75.66,8.58,-0.07,-0.35000000000000003,5,48h57PspBec
0,"We spent millions of dollars and months working on this video, I hope you all liked it 😊",Positive,0.38,4.78,94.84,0.94,4.699999999999999,5,FM7Z-Xq8Drc
1,It’s crazy how honestly won the game!,Positive,0.47,5.27,94.25,0.94,4.699999999999999,5,FM7Z-Xq8Drc
2,54 is the definition of the villain that made the game interesting and played really well but lost because of his own ego,Negative,51.73,37.08,11.18,-0.41,-2.05,5,FM7Z-Xq8Drc
3,40 is such a great example to his daughter. The last 2 contestants make you believe there's still hope in this world. This has been so entertaining.,Positive,0.23,1.58,98.19,0.98,4.9,5,FM7Z-Xq8Drc
4,"Hola Jimmy, Gracias  por todo el apoyo que le da a las personas. 
Jimmy se que sumerce tiene un muy buen corazón. Ocurre que mi sobrino es un chico muy juicioso esta en 9 semestre de una ingeniería. Que pasa que Gracias a Dios y su esfuerzo gano una beca para ir a seguir estudiando en Alemania,  pero ocurre que ya casi se vence el plazo para conseguir 52millones de pesos Colombianos.  Y  la verdad es que ya hicimos vueltas con el icetex y si paso pero el desembolso se demora y no tenemos tiempo.¿ Por que escribo todo esto? Pedimos de tu ayuda con el préstamo de ese dinero. Y apenas el icetex nos lo de se te devolverá.
Pido perdón si esto es molesto pero la verdad no se a quien acudir.",Neutral,14.98,75.17,9.85,-0.05,-0.25,5,FM7Z-Xq8Drc
5,"Bro was honest til the very end, he deserved that 500k more than anyone.",Positive,6.71,43.74,49.55,0.43,2.15,5,FM7Z-Xq8Drc
6,"The kindness of allowing family to visit was a tearjerker, amplified by the music playing by tenfold.",Positive,6.58,45.65,47.77,0.41,2.05,5,FM7Z-Xq8Drc
7,The last 2 contestants were incredibly wholesome. I’m so happy for them to make it to the end.,Positive,0.15,0.84,99.01,0.99,4.95,5,FM7Z-Xq8Drc
8,"Cleaning a beach,
Planting 20 million trees,
Curing people’s blindness,
You are such an amazing person, Jimmy.
Hats off to you!!!",Positive,0.92,4.15,94.93,0.94,4.699999999999999,5,FM7Z-Xq8Drc
9,"Los últimos dos concursantes merecían su lugar.
Personas con corazón puro y dorado. 
Gracias por apoyar a tanta gente, Jimmy.",Neutral,6.26,72.18,21.56,0.15,0.75,5,FM7Z-Xq8Drc
10,"The 100 year-old was so wholesome. He deserved $10,000.",Positive,0.46,4.07,95.47,0.95,4.75,5,FM7Z-Xq8Drc
11,"Huge props to the set designers, everything was spot on!",Positive,0.25,1.98,97.78,0.98,4.9,5,FM7Z-Xq8Drc
12,"Losing is painful, but losing sooooo close to becoming the finalist and by such a huge margin, is insulting. Mr.54, you deserved it for messing with wrong people.",Negative,95.63,3.97,0.4,-0.95,-4.75,5,FM7Z-Xq8Drc
13,Imagine actually getting into one of these challenges 😅 crazy that this man changes so many ppls lives on the daily.,Positive,4.5,24.54,70.96,0.66,3.3000000000000003,5,FM7Z-Xq8Drc
14,Joe's poker face is Max level.,Neutral,9.76,66.13,24.11,0.14,0.7000000000000001,5,FM7Z-Xq8Drc
15,what an amazing content creation <3 Mr. beast should be proud of himself and team,Positive,0.18,1.27,98.56,0.98,4.9,5,FM7Z-Xq8Drc
16,Absolutely love the creativity attached to this challenge. Thank you for enriching the lives of so many through your content creativity.,Positive,0.13,0.78,99.08,0.99,4.95,5,FM7Z-Xq8Drc
17,"Love for your family can push you to do some crazy things, congrats to the winner he proved he deserved it.",Positive,0.39,3.13,96.48,0.96,4.8,5,FM7Z-Xq8Drc
18,"This was crazy, the end is wholesome. The last two contestants deserved it, GG to them",Positive,0.71,5.23,94.06,0.93,4.65,5,FM7Z-Xq8Drc
19,"He is honest, but this proved that you are too. You said that you will improve your content every time, and you did, you were honest. Masterpiece. Goated YouTuber.",Positive,3.72,29.85,66.43,0.63,3.15,5,FM7Z-Xq8Drc
20,"It’s crazy how honestly won the game!
The last 2 contestants were incredibly wholesome. I'm so happy for them to make it to the end.",Positive,0.19,1.04,98.77,0.99,4.95,5,FM7Z-Xq8Drc
21,Man I'm soo happy that the last 2 contestants were soo pure and joyful,Positive,0.18,0.63,99.19,0.99,4.95,5,FM7Z-Xq8Drc
22,This was a wild challenge. So many emotions. Great watch. 🎉,Positive,0.24,1.92,97.84,0.98,4.9,5,FM7Z-Xq8Drc
23,im 10 seconds in and he put a baby in a cube,Neutral,39.17,57.2,3.63,-0.36,-1.7999999999999998,5,FM7Z-Xq8Drc
24,"Bro was honest til the very end, he deserved that 500k more than anyone",Positive,6.26,42.42,51.32,0.45,2.25,5,FM7Z-Xq8Drc
25,"I'm a strong man but goddamn, these videos are wholesome enough to makle even me cry.",Positive,1.32,7.87,90.81,0.89,4.45,5,FM7Z-Xq8Drc
26,"God damn what a crazy play that guy made, good on him for winning that challenge!",Positive,15.43,23.8,60.77,0.45,2.25,5,FM7Z-Xq8Drc
27,Actually the way you really put smile in people’s face is quite amazing. Best channel to lighten up my day hope the channel continues to grow ❤❤❤❤❤❤,Positive,0.13,0.77,99.1,0.99,4.95,5,FM7Z-Xq8Drc
28,Mr. Beast and his friends are so creative. They know hot to entertain and make people happy. Thank you Mr. Beast and friends ☺️,Positive,0.12,0.83,99.05,0.99,4.95,5,FM7Z-Xq8Drc
29,54 is definitely one of those people who loves taking risks and also wouldn’t mind playing dirty,Positive,2.75,29.63,67.61,0.65,3.25,5,FM7Z-Xq8Drc
30,These two definitely deserved to be in the finals,Positive,0.42,7.63,91.95,0.92,4.6000000000000005,5,FM7Z-Xq8Drc
31,This kind of videos and thrills is the best thank you mr.beast for providing this content love you❤❤,Positive,0.18,0.6,99.22,0.99,4.95,5,FM7Z-Xq8Drc
32,Thank you for the videos jimmy and crew they are always a good time <3,Positive,0.12,0.82,99.06,0.99,4.95,5,FM7Z-Xq8Drc
33,"Jimmy just proved to the world that honesty truly does pay off. Honesty can pay off, congratulations well done both of you.",Positive,0.25,2.99,96.76,0.97,4.85,5,FM7Z-Xq8Drc
34,This is legend Youtuber literally ❤❤❤,Positive,0.15,1.35,98.5,0.98,4.9,5,FM7Z-Xq8Drc
35,"What a masterpiece, the production is everything y'all made me cry with a smile on my face😂",Positive,0.26,1.12,98.63,0.98,4.9,5,FM7Z-Xq8Drc
36,The most brutal but harmless thing I've ever seen. This is better than any movie I've ever watch.,Positive,5.27,11.69,83.04,0.78,3.9000000000000004,5,FM7Z-Xq8Drc
37,"its truly Fascinating how Honesty wins in a 50/50 situation, could really inspire people to stay honest no matter what the odds",Positive,0.41,7.62,91.97,0.92,4.6000000000000005,5,FM7Z-Xq8Drc
38,As a person that comes from nothing u have all my respect and the things you do for people thank u for motivation me ❤,Positive,0.31,3.32,96.37,0.96,4.8,5,FM7Z-Xq8Drc
39,you can do some amazing psychological studies with so many people and money. love ya ❤,Positive,0.18,1.57,98.25,0.98,0.98,1,FM7Z-Xq8Drc
40,Otros de los vídeos que me arreglan el corazón ❤️,Positive,0.18,8.37,91.45,0.91,4.55,5,FM7Z-Xq8Drc
41,I've never realized how scary 50-year-olds could be when it comes to half a million dollars😂😂,Negative,76.66,20.1,3.24,-0.73,-3.65,5,FM7Z-Xq8Drc
42,this could literally be a documentary if this were longer,Positive,1.3,28.2,70.5,0.69,3.4499999999999997,5,FM7Z-Xq8Drc
43,"Honesty Is Always The Answer✨️
That Was Bold From Him Especially With 500K On The Line!👏",Positive,1.74,31.84,66.42,0.65,3.25,5,FM7Z-Xq8Drc
44,"Been watching your videos for the past 4 months, am really inspired 💪🏽",Positive,0.11,1.51,98.38,0.98,4.9,5,FM7Z-Xq8Drc
45,This is awesome I'm so happy for him ❤,Positive,0.17,0.57,99.26,0.99,4.95,5,FM7Z-Xq8Drc
46,40 is such a great example yo his daughter. The last 2 contestents make You believe  there's still hope in this world. This has been so entertaining.,Positive,0.28,2.06,97.66,0.97,4.85,5,FM7Z-Xq8Drc
47,Soy al único que le dejo un sentimiento como de nostalgia 🥺,Positive,1.04,41.4,57.57,0.57,2.8499999999999996,5,FM7Z-Xq8Drc
48,That poker face is crafted at perfection. Reverse psychology on.,Neutral,29.07,53.91,17.01,-0.12,-0.6,5,FM7Z-Xq8Drc
49,"At the briefcase guessing, it was much more likely that 40's briefcase had the cash. 40 opened the case just a little bit, watching at high angle. Had it been empty, he would've instinctively lifted higher, making sure it's empty all the way. He was so quick to close it for viewing at that angle. Asking was unnecessary.",Neutral,23.4,63.11,13.49,-0.1,-0.5,5,FM7Z-Xq8Drc
50,The fact he was honest during the whole game and still won is insane.. Huge respect for him and 52,Positive,0.95,6.71,92.34,0.91,4.55,5,FM7Z-Xq8Drc
51,My man's just created a whole game show that would of lasted many months in 25 mins.. goat status,Positive,1.84,20.68,77.49,0.76,3.8,5,FM7Z-Xq8Drc
52,"It’s crazy how honestly won the game!
The last 2 contestants were incredibly wholesome. I'm so happy for them to make it to the end.",Positive,0.18,0.96,98.86,0.99,0.99,1,FM7Z-Xq8Drc
53,he never lied a single time and won it all. ggs man,Positive,4.21,25.68,70.11,0.66,0.66,1,FM7Z-Xq8Drc
54,"Watched the whole challenge, so cool & so much patience with the whole team & challengers",Positive,0.19,1.54,98.27,0.98,4.9,5,FM7Z-Xq8Drc
55,Please come to England and do some of these games here. They are awesome fun.♥,Positive,0.11,1.14,98.75,0.99,4.95,5,FM7Z-Xq8Drc
56,Loved this one!,Positive,0.27,1.28,98.45,0.98,4.9,5,FM7Z-Xq8Drc
57,a reviravolta entre as duas mulheres e a jogada do cara que ganhou... caramba,Neutral,8.06,86.34,5.59,-0.02,-0.1,5,FM7Z-Xq8Drc
58,imagine if one of these people had their birthday during this challenge,Neutral,15.89,76.83,7.27,-0.09,-0.44999999999999996,5,FM7Z-Xq8Drc
59,That was aweome! Glad he won!,Positive,0.14,1.34,98.52,0.98,4.9,5,FM7Z-Xq8Drc
60,"We laughed, we cried... The production value here, the story telling... just wow. Bravo Mr. Beast.",Positive,0.32,2.83,96.85,0.97,4.85,5,FM7Z-Xq8Drc
61,"Honestly, one of the greatest Mr. Beast videos imo",Positive,0.2,3.23,96.56,0.96,4.8,5,FM7Z-Xq8Drc
62,The fact that people who lose get some money too make me respect you,Positive,4.88,40.25,54.87,0.5,2.5,5,FM7Z-Xq8Drc
63,"21:38 that made me cry :((
Having a family is much more worth that that half a million",Neutral,33.9,38.95,27.15,-0.07,-0.07,1,FM7Z-Xq8Drc
64,This is actually one of the best videos of mr.beast! bravooo! hehe well done :),Positive,0.12,0.61,99.27,0.99,4.95,5,FM7Z-Xq8Drc
65,This is what happens when money is in the hands of the right people,Neutral,11.7,58.89,29.41,0.18,0.8999999999999999,5,FM7Z-Xq8Drc
66,54 out surviving so many people was peak drama.,Neutral,33.35,55.54,11.11,-0.22,-0.22,1,FM7Z-Xq8Drc
67,"Thank you mr beast for keeping this suitable in todays day and age,so many sellouts dooming this generation ❤",Positive,8.74,33.88,57.38,0.49,0.49,1,FM7Z-Xq8Drc
68,Loved this one! ❤️,Positive,0.18,0.77,99.04,0.99,0.99,1,FM7Z-Xq8Drc
69,It's surprising how 54 survived that far while being the most hated one.,Negative,58.87,34.38,6.76,-0.52,-2.6,5,FM7Z-Xq8Drc
70,Thank you for always sharing fun videos.,Positive,0.17,1.1,98.73,0.99,4.95,5,FM7Z-Xq8Drc
71,The final two really deserved it!!!,Positive,0.29,3.67,96.03,0.96,0.96,1,FM7Z-Xq8Drc
72,He won whilst telling the truth. What an amazing example he’s gonna set for his daughter.,Positive,0.67,5.8,93.53,0.93,4.65,5,FM7Z-Xq8Drc
73,Mr. Beast making competitions that's also suitable for psych experiments lol this is also a great way to study a human behavior,Positive,0.24,6.22,93.54,0.93,4.65,5,FM7Z-Xq8Drc
74,Saya harap Jimmy bisa bikin acara seperti itu di negaraku Indonesia👏❤️,Positive,0.51,23.91,75.59,0.75,3.75,5,FM7Z-Xq8Drc
75,Yo también quiero ganar medio millón de dólares 💵 para esforzarme ✌🏻,Neutral,0.81,60.31,38.89,0.38,1.9,5,FM7Z-Xq8Drc
76,LOVED IT!!!!! SO GOOD JIMMY and TEAM!!,Positive,0.19,0.61,99.2,0.99,0.99,1,FM7Z-Xq8Drc
0,"For those of you wondering, he was an Assasin in the military haha",Neutral,9.21,80.84,9.95,0.01,0.05,5,YLt73w6criQ
1,Now we know why Twitter thought MrBeast died,Negative,55.18,42.65,2.17,-0.53,-2.6500000000000004,5,YLt73w6criQ
2,Imagine all the permits Jimmy would have needed to make all this happen.,Neutral,22.0,69.44,8.57,-0.13,-0.65,5,YLt73w6criQ
3,these guys will definitely have something to tell their grandchildren,Neutral,6.7,62.0,31.3,0.25,1.25,5,YLt73w6criQ
4,Im literally jealous of how much fun you have making a living.,Negative,55.01,30.12,14.87,-0.4,-2.0,5,YLt73w6criQ
5,It’s a good thing jimmy can pay for everything or he would be committing several war crimes.,Neutral,40.77,46.89,12.34,-0.28,-1.4000000000000001,5,YLt73w6criQ
6,"The ""are you sure the car is for you"" followed by the assassin dropping the comedicaly large ""For Assassin"" sign gets me everytime.",Negative,48.35,46.65,5.01,-0.43,-2.15,5,YLt73w6criQ
7,Probably one of the most chaotic MrBeast videos ever. I love it!,Positive,0.23,0.93,98.84,0.99,4.95,5,YLt73w6criQ
8,this channel is completly different from 5 years ago its so crazy to see the amount of change the whole group has gone thru,Positive,6.71,37.26,56.03,0.49,2.45,5,YLt73w6criQ
9,The fact he bought out and set up something in every room is insane... That Main Hotel Room looked awesome!,Positive,0.43,2.37,97.2,0.97,4.85,5,YLt73w6criQ
10,I’m so proud that my faith in humanity doubled and gave it to the next person 😊,Positive,0.13,1.26,98.61,0.98,4.9,5,YLt73w6criQ
11,Let's we all appreciate the content this man and his crew makes JUST a masterpiece imagine WHATS he's gonna doing in the future❤❤❤,Positive,0.16,2.21,97.63,0.97,4.85,5,YLt73w6criQ
12,he is amazing. the challenge is extremely difficult for the participants.,Positive,2.76,10.15,87.09,0.84,4.2,5,YLt73w6criQ
13,Mr Beast is slowly turning into a real life James Bond.,Neutral,16.06,68.92,15.02,-0.01,-0.05,5,YLt73w6criQ
14,Este tío combina el dinero y la diversión de una forma increíble.,Neutral,6.4,85.85,7.76,0.01,0.05,5,YLt73w6criQ
15,"Easily the most creative use of product placement in the last few decades. Bravo Beast, another instant classic",Positive,0.29,4.91,94.8,0.95,4.75,5,YLt73w6criQ
16,Jimmy was generous enough to let him win.,Neutral,9.36,65.8,24.84,0.15,0.75,5,YLt73w6criQ
17,god there will never be a youtuber more entertaining/ thoughtful than jimmy. ily!,Positive,0.42,2.13,97.44,0.97,4.85,5,YLt73w6criQ
18,jimmy has the craziest and scariest ideas for content,Negative,53.21,36.61,10.18,-0.43,-2.15,5,YLt73w6criQ
19,"The level of commitment that this man puts into trying to entertain his audience is insanely inspirational. MrBeast and his team are going to continue to break records the more they keep this up. And they all deserve all the props in the world for it, too.",Positive,0.23,1.82,97.95,0.98,4.9,5,YLt73w6criQ
20,"Been watching your videos for the past 4 months, am really inspired 💪🏽",Positive,0.11,1.51,98.38,0.98,4.9,5,YLt73w6criQ
21,"The amount of effort that Mr. Beast puts into trying to outdo himself time and time again is motivating. Keep doing what you do, man.",Positive,1.15,12.67,86.18,0.85,4.25,5,YLt73w6criQ
